Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202200141,1242,0,200,237.223873753813,147.2448999993503,658.7151999119669,91.0,21.101886246926004,0.0,200,230,260,290,380,440,500,540,650,660,660
,Aggregated,1242,0,200,237.223873753813,147.2448999993503,658.7151999119669,91.0,21.101886246926004,0.0,200,230,260,290,380,440,500,540,650,660,660
