Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202200141,2544,0,1100,1254.9659399386735,155.7637001387775,4129.927499918267,91.0,29.166519303478776,0.0,1100,1300,1400,1500,1800,2600,3800,3800,4000,4100,4100
,Aggregated,2544,0,1100,1254.9659399386735,155.7637001387775,4129.927499918267,91.0,29.166519303478776,0.0,1100,1300,1400,1500,1800,2600,3800,3800,4000,4100,4100
