Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202200141,7870,0,890,959.3709828726134,163.48570003174245,4297.456600004807,91.0,33.02862971182049,0.0,890,940,980,1000,1100,1200,3000,4100,4200,4300,4300
,Aggregated,7870,0,890,959.3709828726134,163.48570003174245,4297.456600004807,91.0,33.02862971182049,0.0,890,940,980,1000,1100,1200,3000,4100,4200,4300,4300
