Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202200141,1237,0,190,224.10763540943645,148.13650003634393,723.560499958694,91.0,21.219740444088636,0.0,190,210,230,250,330,420,510,570,720,720,720
,Aggregated,1237,0,190,224.10763540943645,148.13650003634393,723.560499958694,91.0,21.219740444088636,0.0,190,210,230,250,330,420,510,570,720,720,720
