Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202200141,2226,0,1700,1765.220350362984,154.18239985592663,3968.101399950683,91.0,25.178029847385908,0.0,1700,1900,2100,2300,2700,3000,3400,3600,3900,4000,4000
,Aggregated,2226,0,1700,1765.220350362984,154.18239985592663,3968.101399950683,91.0,25.178029847385908,0.0,1700,1900,2100,2300,2700,3000,3400,3600,3900,4000,4000
