Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782804328,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782804329,10,POST,/grpc-202200141,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,440,466.19754002895206,280.8609001804143,637.3973002191633,91.0
1782804329,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,440,466.19754002895206,280.8609001804143,637.3973002191633,91.0
1782804330,20,POST,/grpc-202200141,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,20,0,440,454.64192499639466,240.75220013037324,672.1271998248994,91.0
1782804330,20,,Aggregated,0.000000,0.000000,460,540,550,630,640,670,670,670,670,670,670,20,0,440,454.64192499639466,240.75220013037324,672.1271998248994,91.0
1782804331,30,POST,/grpc-202200141,0.000000,0.000000,410,460,480,500,600,640,670,670,670,670,670,36,0,410,420.3101555467583,163.48570003174245,672.1271998248994,91.0
1782804331,30,,Aggregated,0.000000,0.000000,410,470,540,540,630,640,670,670,670,670,670,36,0,410,420.3101555467583,163.48570003174245,672.1271998248994,91.0
1782804332,40,POST,/grpc-202200141,5.000000,0.000000,370,430,470,480,570,630,670,670,670,670,670,59,0,380,384.6118982912878,163.48570003174245,672.1271998248994,91.0
1782804332,40,,Aggregated,5.000000,0.000000,380,440,480,510,600,640,640,670,670,670,670,59,0,380,384.6118982912878,163.48570003174245,672.1271998248994,91.0
1782804333,50,POST,/grpc-202200141,7.333333,0.000000,370,420,480,480,540,630,670,730,730,730,730,82,0,380,371.45889877262186,163.48570003174245,733.5374001413584,91.0
1782804333,50,,Aggregated,7.333333,0.000000,380,440,480,500,550,630,670,730,730,730,730,82,0,380,371.45889877262186,163.48570003174245,733.5374001413584,91.0
1782804334,70,POST,/grpc-202200141,9.750000,0.000000,370,410,460,480,540,630,670,700,730,730,730,111,0,380,371.1516603529621,163.48570003174245,733.5374001413584,91.0
1782804334,70,,Aggregated,9.750000,0.000000,380,420,480,490,550,640,670,700,730,730,730,111,0,380,371.1516603529621,163.48570003174245,733.5374001413584,91.0
