Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202200141,2227,0,1400,1796.3506488572157,117.682000156492,5209.808300016448,91.0,25.163864924753963,0.0,1400,1800,2600,3000,4200,4200,4400,4400,4700,5200,5200
,Aggregated,2227,0,1400,1796.3506488572157,117.682000156492,5209.808300016448,91.0,25.163864924753963,0.0,1400,1800,2600,3000,4200,4200,4400,4400,4700,5200,5200
